task,id,trial,order,ori_mean,ori_var,judge,answer,result,judge_rt,line_pos,payoff_solo,payoff_jitter,payoff_group,choice,choice_rt,option_pos,rating,rating_rt,rating_init,rating_history,iti
group,1,52,post,3,16,clockwise,clockwise,correct,0.8736773959999482,ca,700,10,500,solo,0.8470190500001991,gs,6,0.5305241169999135,6,"[(6, 0.0004761770005643484), (6, 0.5315831739999339)]",0.48688060504901015
group,1,53,post,3,64,anticlockwise,clockwise,wrong,0.7691027780001605,ac,1150,0,500,solo,0.6486082100000203,sg,2,2.6296590390002166,3,"[(3, 0.0004777129997819429), (2, 1.894652634000522), (2, 2.630553357000281)]",0.574877106221086
group,1,54,post,3,32,anticlockwise,clockwise,wrong,0.8988872780000747,ca,1270,-10,500,solo,0.6139918660001058,sg,1,0.7234318090004308,2,"[(2, 0.0004961499998898944), (1, 0.48451685500003805), (1, 0.7242868240000462)]",0.5057385612380527
group,1,55,post,-3,8,anticlockwise,anticlockwise,correct,0.7179416489998403,ac,590,10,500,solo,1.0008014189997994,gs,6,1.1265635319996363,4,"[(4, 0.00048705600056564435), (5, 0.4394864129999405), (6, 0.6954965799995989), (6, 1.127307849999852)]",0.5606935661263096
group,1,56,post,-3,32,anticlockwise,anticlockwise,correct,1.4541730210003152,ac,1150,-10,500,solo,0.971803952999835,gs,3,1.194336155000201,4,"[(4, 0.0004895980000583222), (3, 0.5873954880007659), (3, 1.1950442360002853)]",0.5400636467756588
group,1,57,pre,-3,32,clockwise,anticlockwise,wrong,1.1607870429998002,ac,500,0,500,solo,2.7988453770003616,gs,3,2.384162035999907,4,"[(4, 0.0004723570000351174), (3, 1.9210763820001375), (3, 2.3849419759999364)]",0.4323282977942124
group,1,58,post,-3,64,clockwise,anticlockwise,wrong,0.6480542509998486,ac,1270,-10,500,solo,0.7407989020002788,gs,2,0.6535568899998907,2,"[(2, 0.0005202989996178076), (2, 0.6545148129998779)]",0.4968577443435598
group,1,59,post,3,32,clockwise,clockwise,correct,0.5411023189999469,ac,590,-10,500,solo,0.7977844999995796,gs,4,1.0916841949992886,2,"[(2, 0.0005968420000499464), (3, 0.6286116219998803), (4, 0.8365859810000984), (4, 1.0925237299998116)]",0.4407253766007934
group,1,60,post,3,64,anticlockwise,clockwise,wrong,0.5892030940003679,ac,1040,0,500,solo,0.5724136650005676,sg,3,2.571742871999959,6,"[(6, 0.0004782559999512159), (5, 0.444948530000147), (4, 0.6528052319999915), (3, 2.2527267960003883), (3, 2.5726528149998558)]",0.5408871251172023
group,1,61,post,3,8,clockwise,clockwise,correct,0.8138603170000351,ca,850,10,500,solo,0.6118827250002141,sg,5,1.088696023999546,4,"[(4, 0.00047215599988703616), (5, 0.5777765430002546), (5, 1.089654903000337)]",0.45763862724759546
group,1,62,post,3,16,clockwise,clockwise,correct,1.7073333100006494,ca,1270,-10,500,solo,0.6864126729997224,sg,5,1.5922234539993951,3,"[(3, 0.0004926860001432942), (4, 0.6492164009996486), (5, 0.8572156269992774), (5, 1.593154334999781)]",0.5334273513798722
group,1,63,post,-3,16,anticlockwise,anticlockwise,correct,1.4206690500004697,ca,1400,10,500,solo,0.9222585729994535,gs,3,1.9803709900006652,6,"[(6, 0.00047859700043773046), (5, 0.4613825810001799), (4, 0.6691267100004552), (3, 1.5012548260001495), (3, 1.9811336860002484)]",0.5873068864485913
group,1,64,post,-3,8,anticlockwise,anticlockwise,correct,0.5331308260001606,ac,1150,-10,500,solo,0.9182673720006278,gs,5,1.3835735849997945,1,"[(1, 0.0004822470000362955), (2, 0.4086629580006047), (3, 0.6002859260006517), (4, 0.7763947880002888), (5, 0.9536263179998059), (5, 1.3844340510004258)]",0.4575261612443438
group,1,65,post,3,64,clockwise,clockwise,correct,1.2733531530002438,ac,770,-10,500,solo,0.8933899970006678,sg,1,1.6636668450000798,1,"[(1, 0.0004808690000572824), (1, 0.2885544340006163), (2, 1.0727383540006485), (1, 1.328567082000518), (1, 1.664513423000244)]",0.4541677280951146
group,1,66,post,3,32,clockwise,clockwise,correct,2.882067437999467,ca,1400,-10,500,solo,0.6930143419995147,sg,4,1.1682303460002004,4,"[(4, 0.0005148950003786013), (4, 1.169150042000183)]",0.5466484585076843
group,1,67,post,-3,16,anticlockwise,anticlockwise,correct,1.2218168110002807,ca,590,-10,500,solo,1.003799593999247,gs,4,1.1307430789993305,1,"[(1, 0.0004766629999721772), (2, 0.39565037499960454), (3, 0.5874905359996774), (4, 0.779691714999899), (4, 1.131572695999239)]",0.5437754073327266
